id	site	country	latitude	longitude	coord_source	period	fauna_source	taxon	occurrence	geometry
115	Munhatta	Israel	32.5	35.5	Kopp & Röllig 1994	Late Neolithic	Ducos 1968	Equus	1	c(126091.239650483, 63173.5517499667)
121	Nahal Oren	Israel	32.72	34.97	CONTEXT	Epipalaeolithic	Ducos 1968; Noy, Legge & Higgs 1973	Equus	1	c(76853.2323693437, 88614.9073553353)
121	Nahal Oren	Israel	32.72	34.97	CONTEXT	Protoneolithic	Ducos 1968; Noy, Legge & Higgs 1973	Equus	1	c(76853.2323693437, 88614.9073553353)
121	Nahal Oren	Israel	32.72	34.97	CONTEXT	Early Neolithic	Ducos 1968; Noy, Legge & Higgs 1973	Equus	1	c(76853.2323693437, 88614.9073553353)
132	Qafzeh, Grotte du Djebel Qafzeh	Israel	32.7	35.3	Schyle 1992	Middle Palaeolithic	Bouchud 1969	Equus	1	c(107744.015442883, 85716.9706848231)
132	Qafzeh, Grotte du Djebel Qafzeh	Israel	32.7	35.3	Schyle 1992	Upper Palaeolithic	Bouchud 1969	Equus	1	c(107744.015442883, 85716.9706848231)
132	Qafzeh, Grotte du Djebel Qafzeh	Israel	32.7	35.3	Schyle 1992	Epipalaeolithic	Bouchud 1969	Equus	1	c(107744.015442883, 85716.9706848231)
140	Ras en-Naqb	Jordan	30.017	35.483	Schyle 1992	Epipalaeolithic	Turnbull in press	Equus	1	c(119386.201792239, -212428.32751184)
140	Ras en-Naqb	Jordan	30.017	35.483	Schyle 1992	Late Neolithic	Turnbull in press	Equus	1	c(119386.201792239, -212428.32751184)
147	Sahba	Israel	31.583	35.217	Tomsky 1991	Middle Palaeolithic	Vaufrey 1951	Equus	1	c(97338.1780889063, -38023.9398533746)
159	Sinn, Tell es-	Syria	35.917	38.233	Gebel 1984	Early Neolithic	Clason 1980	Equus	1	c(379564.418516441, 440923.68081015)
159	Sinn, Tell es-	Syria	35.917	38.233	Gebel 1984	Protoneolithic	Clason 1980	Equus	1	c(379564.418516441, 440923.68081015)
159	Sinn, Tell es-	Syria	35.917	38.233	Gebel 1984	Late Neolithic	Clason 1980	Equus	1	c(379564.418516441, 440923.68081015)
168	Taibé, at-Tayyiba	Syria	32.567	36.267	Schyle & Uerpmann 1996	Epipalaeolithic	Ducos 1968	Equus	1	c(198149.814955169, 69592.6464056532)
183	Wadi Gaza	Israel	31	34	Kopp & Röllig 1994	Late Neolithic	Ducos 1968	Equus	1	c(-20408.4225063444, -99564.63157159)
189	Wadi Tubaiq	Egypt	28.5	34	Kopp & Röllig 1994	Early Neolithic	Bar-Yosef 1981	Equus	1	c(-29648.7850881508, -377426.596051104)
15	Aq Kupruk	Afghanistan	36.083	66.85	Schyle & Uerpmann 1996	Epipalaeolithic	Perkins 1972	Equus	1	c(2919187.36812208, 845066.066343862)
44	Demirci Hüyük	Turkey	39.87	30.36	CONTEXT	Bronze Age	Rauh 1981	Equus	1	c(-299886.313943121, 900720.52145837)
52	Ein Gev	Israel	32.8	35.65	CONTEXT	Upper Palaeolithic	Tchernov 1976	Equus	1	c(140634.563830146, 96234.1161960032)
52	Ein Gev	Israel	32.8	35.65	CONTEXT	Epipalaeolithic	Tchernov 1976	Equus	1	c(140634.563830146, 96234.1161960032)
57	Erq el-Ahmar	Israel	31.667	35.233	Schyle & Uerpmann 1996	Middle Palaeolithic	Vaufrey 1951; Davis 1980	Equus	1	c(99053.9896468004, -28735.2618986187)
57	Erq el-Ahmar	Israel	31.667	35.233	Schyle & Uerpmann 1996	Upper Palaeolithic	Vaufrey 1951; Davis 1980	Equus	1	c(99053.9896468004, -28735.2618986187)
57	Erq el-Ahmar	Israel	31.667	35.233	Schyle & Uerpmann 1996	Epipalaeolithic	Vaufrey 1951; Davis 1980	Equus	1	c(99053.9896468004, -28735.2618986187)
92	Kara'in	Turkey	37.133	30.583	Schyle 1992	Lower Palaeolithic	Uerpmann 1987	Equus	1	c(-301204.731019632, 595673.119184418)
92	Kara'in	Turkey	37.133	30.583	Schyle 1992	Middle Palaeolithic	Uerpmann 1987	Equus	1	c(-301204.731019632, 595673.119184418)
92	Kara'in	Turkey	37.133	30.583	Schyle 1992	Upper Palaeolithic	Uerpmann 1987	Equus	1	c(-301204.731019632, 595673.119184418)
92	Kara'in	Turkey	37.133	30.583	Schyle 1992	Epipalaeolithic	Uerpmann 1987	Equus	1	c(-301204.731019632, 595673.119184418)
95	Kebarah Cave	Israel	32.57	34.93	CONTEXT	Middle Palaeolithic	Saxon 1974; Davis 1977; Uerpmann 1987	Equus	1	c(72704.0739183721, 72071.2054972711)
95	Kebarah Cave	Israel	32.57	34.93	CONTEXT	Upper Palaeolithic	Saxon 1974; Davis 1977; Uerpmann 1987	Equus	1	c(72704.0739183721, 72071.2054972711)
95	Kebarah Cave	Israel	32.57	34.93	CONTEXT	Epipalaeolithic	Saxon 1974; Davis 1977; Uerpmann 1987	Equus	1	c(72704.0739183721, 72071.2054972711)
102	Ksar 'Akil	Lebanon	33.917	35.6	Schyle 1992	Middle Palaeolithic	Hooijer 1961; Uerpmann 1987	Equus	1	c(138219.532544085, 220126.38867036)
102	Ksar 'Akil	Lebanon	33.917	35.6	Schyle 1992	Upper Palaeolithic	Hooijer 1961; Uerpmann 1987	Equus	1	c(138219.532544085, 220126.38867036)
102	Ksar 'Akil	Lebanon	33.917	35.6	Schyle 1992	Epipalaeolithic	Hooijer 1961; Uerpmann 1987	Equus	1	c(138219.532544085, 220126.38867036)
107	Mdamagh	Jordan	30.333	35.45	Schyle 1992	Epipalaeolithic	Perkins 1966; Uerpmann 1987	Equus	1	c(116856.276840709, -177254.755901992)
120	Nahal Hadera V	Israel	32.467	34.9	Schyle & Uerpmann 1996	Epipalaeolithic	Saxon, Martin & Bar-Yosef 1978	Equus	1	c(69609.1629135645, 60717.3727431757)
125	Norşun Tepe	Turkey	38.619	39.47	vici:29338	Late Neolithic	Boessneck & von den Driesch 1976	Equus	1	c(485002.344380646, 742565.286782645)
125	Norşun Tepe	Turkey	38.619	39.47	vici:29338	Bronze Age	Boessneck & von den Driesch 1976	Equus	1	c(485002.344380646, 742565.286782645)
125	Norşun Tepe	Turkey	38.619	39.47	vici:29338	Iron Age	Boessneck & von den Driesch 1976	Equus	1	c(485002.344380646, 742565.286782645)
128	Palegawra	Iraq	35.64	45.11	CONTEXT	Epipalaeolithic	Turnbull & Reed 1974; Uerpmann 1987	Equus	1	c(1002009.15375219, 436836.320813888)
128	Palegawra	Iraq	35.64	45.11	CONTEXT	Early Neolithic	Turnbull & Reed 1974; Uerpmann 1987	Equus	1	c(1002009.15375219, 436836.320813888)
131	Pulur Hüyük	Turkey	38	38	Kopp & Röllig 1994	Late Neolithic	Deniz 1975	Equus	1	c(357170.13433875, 671978.687322843)
131	Pulur Hüyük	Turkey	38	38	Kopp & Röllig 1994	Bronze Age	Deniz 1975	Equus	1	c(357170.13433875, 671978.687322843)
155	Shuqba	Israel	31.983	35.033	Schyle & Uerpmann 1996	Middle Palaeolithic	Bate 1942; Uerpmann 1987	Equus	1	c(80879.3415624907, 6739.60950241837)
155	Shuqba	Israel	31.983	35.033	Schyle & Uerpmann 1996	Epipalaeolithic	Bate 1942; Uerpmann 1987	Equus	1	c(80879.3415624907, 6739.60950241837)
167	Tabun	Israel	31.55	35.233	Schyle 1992	Lower Palaeolithic	Bate 1937	Equus	1	c(98781.2163103981, -41717.8739641996)
167	Tabun	Israel	31.55	35.233	Schyle 1992	Middle Palaeolithic	Bate 1937	Equus	1	c(98781.2163103981, -41717.8739641996)
200	Tepecik	Turkey	41.468	34.17	Pleiades:845078	Late Neolithic	Boessneck & von den Driesch 1979	Equus	1	c(32545.1893163311, 1062521.6173896)
201	Tülintepe	Turkey	38.641	39.41	vici:51559	Late Neolithic	Boessneck & von den Driesch 1976b	Equus	1	c(479717.147370399, 744903.360234628)
181	Wad, al-	Israel	32.67	34.97	CONTEXT	Upper Palaeolithic	Bate 1937; Uerpmann 1987	Equus	1	c(76722.2667550283, 83070.6358973941)
181	Wad, al-	Israel	32.67	34.97	CONTEXT	Epipalaeolithic	Bate 1937; Uerpmann 1987	Equus	1	c(76722.2667550283, 83070.6358973941)
190	Warwasi	Iran	34.4	47.117	Schyle 1992	MP:UP	Turnbull 1975	Equus	1	c(1196369.62917705, 315750.811028217)
190	Warwasi	Iran	34.4	47.117	Schyle 1992	Epipalaeolithic	Turnbull 1975	Equus	1	c(1196369.62917705, 315750.811028217)
191	Yabroud	Syria	33.967	36.65	Schyle 1992	Lower Palaeolithic	Perkins 1968; Lehmann 1970	Equus	1	c(235203.417783656, 224534.300716145)
191	Yabroud	Syria	33.967	36.65	Schyle 1992	Upper Palaeolithic	Perkins 1968; Lehmann 1970	Equus	1	c(235203.417783656, 224534.300716145)
191	Yabroud	Syria	33.967	36.65	Schyle 1992	Epipalaeolithic	Perkins 1968; Lehmann 1970	Equus	1	c(235203.417783656, 224534.300716145)
194	Yarıkkaya	Turkey	39	34	Kopp & Röllig 1994	Bronze Age	Boessneck & Wiedemann 1977	Equus	1	c(9102.63669072447, 787846.528950831)
3	Abu Salabikh	Iraq	32.253	45.054	Pleiades	Bronze Age	Clutton-Brock & Burleigh 1978	Equus	1	c(1025640.58897726, 61927.4553171466)
4	Abu Salim	Israel	30.53	34.52	CONTEXT	Protoneolithic	Butler et al. 1977; Dabis et al. 1982	Equus	1	c(27846.5390599142, -153271.49530276)
7	Ain Ghazal	Jordan	31.93	35.94	CONTEXT	Early Neolithic	Köhler-Rollefson 1984	Equus	1	c(166565.422333821, -726.912206819514)
9	Ali Kosh	Iran	32.56	47.32	CONTEXT	Early Neolithic	Hole, Flannery & Neely 1969	Equus	1	c(1235094.18024837, 114527.236575312)
10	Ali Tappe	Iran	36.68	53.55	CONTEXT	Epipalaeolithic	Uerpmann & Frey 1981	Equus	1	c(1742202.84002912, 641361.375128835)
13	Anau	Soviet Union	38.187	58.477	Pleiades	Late Neolithic	Duerst 1908	Equus	1	c(2140309.79700835, 886199.804364659)
15	Aq Kupruk	Afghanistan	36.083	66.85	Schyle & Uerpmann 1996	Epipalaeolithic	Perkins 1972	Equus	1	c(2919187.36812208, 845066.066343862)
18	Asiab	Iran	34.3	47.19	CONTEXT	Protoneolithic	Bökönyi 1977	Equus	1	c(1204129.0116148, 305366.951274242)
20	Asmar, Tell	Iraq	33.487	44.725	Pleiades	Bronze Age	Hilzheimer 1941	Equus	1	c(984701.296339941, 196106.418267837)
21	Azraq, Ain al-Assad	Jordan	31.807	36.805	Copeland 1988	Upper Palaeolithic	Turnbull pers. comm.	Equus	1	c(248348.976732687, -15169.6388516743)
21	Azraq, Ain al-Assad	Jordan	31.807	36.805	Copeland 1988	Early Neolithic	Turnbull pers. comm.	Equus	1	c(248348.976732687, -15169.6388516743)
21	Azraq, Ain al-Assad	Jordan	31.807	36.805	Copeland 1988	Bronze Age	Turnbull pers. comm.	Equus	1	c(248348.976732687, -15169.6388516743)
22	Azraq, C-spring	Jordan	31.834	36.82	Copeland 1988	Middle Palaeolithic	Clutton-Brock 1970	Equus	1	c(249786.309153102, -12181.0692182643)
23	Balakot	Pakistan	25.45	66.7	Dales 1974	Late Neolithic	Meadow 1979a	Equus	1	c(3245840.72247868, -291653.411543074)
23	Balakot	Pakistan	25.45	66.7	Dales 1974	Bronze Age	Meadow 1979a	Equus	1	c(3245840.72247868, -291653.411543074)
25	Bastam	Iran	38.891	44.894	Pleiades	Iron Age	Krauss 1975	Equus	1	c(955499.591976215, 795427.891674279)
34	Bouqras	Syria	35.03	40.39	CONTEXT	Early Neolithic	Hooijer 1966; Clason 1977, 1981	Equus	1	c(577154.912204992, 346371.362213395)
36	Choga Mami	Iraq	33.9	45.17	CONTEXT	Late Neolithic	Bökönyi 1978	Equus	1	c(1022384.67467957, 244879.216064029)
38	Çayönü Tepesi	Turkey	38.218	39.727	Pleiades	Early Neolithic	Lawrence 1980, 1982; Meadow 1986	Equus	1	c(508477.312768298, 698485.66909826)
40	Dahan-i Gulaman	Iran	30.78	61.136	Pleiades	Iron Age	Compagnoni 1980a	Equus	1	c(2560058.53949001, 138648.879590284)
42	Dehsavar	Iran	34.313	47.131	Motarjem pers. comm.	Late Neolithic	Bökönyi 1977	Equus	1	c(1198585.30749944, 306273.896420686)
44	Demirci Hüyük	Turkey	39.87	30.36	CONTEXT	Bronze Age	Rauh 1981	Equus	1	c(-299886.313943121, 900720.52145837)
48	Djeitun	Soviet Union	38.3	58.4	Harris 1997	Late Neolithic	Shevchenko 1960	Equus	1	c(2131095.39278368, 897086.099077295)
50	Douara Cave	Syria	34.65	38.45	Schyle & Uerpmann 1996	Middle Palaeolithic	Payne 1983; Takai 1974	Equus	1	c(400680.920419774, 300597.231904939)
51	Ein Aqev	Israel	30.82	34.82	CONTEXT	Upper Palaeolithic	Tchernov 1976	Equus	1	c(57498.9553992333, -121836.055987197)
57	Erq el-Ahmar	Israel	31.667	35.233	Schyle & Uerpmann 1996	Middle Palaeolithic	Vaufrey 1951; Davis 1980	Equus	1	c(99053.9896468004, -28735.2618986187)
57	Erq el-Ahmar	Israel	31.667	35.233	Schyle & Uerpmann 1996	Upper Palaeolithic	Vaufrey 1951; Davis 1980	Equus	1	c(99053.9896468004, -28735.2618986187)
57	Erq el-Ahmar	Israel	31.667	35.233	Schyle & Uerpmann 1996	Epipalaeolithic	Vaufrey 1951; Davis 1980	Equus	1	c(99053.9896468004, -28735.2618986187)
58	Eshkaft-e Gavi	Iran	29.867	52.75	Schyle 1992	Middle Palaeolithic	Uerpmann 1987	Equus	1	c(1786629.23937371, -116963.308952731)
58	Eshkaft-e Gavi	Iran	29.867	52.75	Schyle 1992	Upper Palaeolithic	Uerpmann 1987	Equus	1	c(1786629.23937371, -116963.308952731)
58	Eshkaft-e Gavi	Iran	29.867	52.75	Schyle 1992	Epipalaeolithic	Uerpmann 1987	Equus	1	c(1786629.23937371, -116963.308952731)
59	Farukhabad	Iran	32.583	47.233	Wright 1981	Late Neolithic	Redding 1982	Equus	1	c(1226710.87324286, 116262.413772556)
59	Farukhabad	Iran	32.583	47.233	Wright 1981	Bronze Age	Redding 1982	Equus	1	c(1226710.87324286, 116262.413772556)
62	Ganj-e Dare	Iran	34.42	47.57	CONTEXT	Early Neolithic	Hesse 1978, 1982	Equus	1	c(1237579.87339618, 322079.649616256)
83	Hesbon	Jordan	31.75	35.75	Kopp & Röllig 1994	Iron Age	Weiler 1981; Boessneck & von den Driesch 1977, 1978	Equus	1	c(148269.173084659, -20430.2305081719)
85	Iblis, Tal-e	Iran	29	56	Kopp & Röllig 1994	Iron Age	Bökönyi 1967	Equus	1	c(2114841.04987464, -158810.801203816)
88	Ishan Bahriyat (Isin)	Iraq	31.933	45.283	Pleiades	Bronze Age	Boessneck 1977; Boessneck & Kokabi 1981	Equus	1	c(1049958.25172206, 28206.5789462211)
88	Ishan Bahriyat (Isin)	Iraq	31.933	45.283	Pleiades	Iron Age	Boessneck 1977; Boessneck & Kokabi 1981	Equus	1	c(1049958.25172206, 28206.5789462211)
89	Jarmo	Iraq	35.56	44.92	CONTEXT	Early Neolithic	Stampfli 1983	Equus	1	c(985519.493635671, 426680.235011012)
91	Kamarband, Ghar-e	Iran	36.65	53.28	CONTEXT	Epipalaeolithic	Uerpmann & Frey 1981	Equus	1	c(1718892.58036483, 634240.898935515)
91	Kamarband, Ghar-e	Iran	36.65	53.28	CONTEXT	Late Neolithic	Uerpmann & Frey 1981	Equus	1	c(1718892.58036483, 634240.898935515)
95	Kebarah Cave	Israel	32.57	34.93	CONTEXT	Middle Palaeolithic	Saxon 1974; Davis 1977; Uerpmann 1987	Equus	1	c(72704.0739183721, 72071.2054972711)
95	Kebarah Cave	Israel	32.57	34.93	CONTEXT	Upper Palaeolithic	Saxon 1974; Davis 1977; Uerpmann 1987	Equus	1	c(72704.0739183721, 72071.2054972711)
95	Kebarah Cave	Israel	32.57	34.93	CONTEXT	Epipalaeolithic	Saxon 1974; Davis 1977; Uerpmann 1987	Equus	1	c(72704.0739183721, 72071.2054972711)
99	Khorramabad Caves	Iran	33.492	48.349	Hole 2007 (KR-15/Ghamari)	Middle Palaeolithic	Hole & Flannery 1967	Equus	1	c(1319980.17599268, 227313.794258659)
99	Khorramabad Caves	Iran	33.492	48.349	Hole 2007 (KR-15/Ghamari)	Upper Palaeolithic	Hole & Flannery 1967	Equus	1	c(1319980.17599268, 227313.794258659)
99	Khorramabad Caves	Iran	33.492	48.349	Hole 2007 (KR-15/Ghamari)	Epipalaeolithic	Hole & Flannery 1967	Equus	1	c(1319980.17599268, 227313.794258659)
103	Labweh, Tell	Lebanon	34.187	36.358	vici:57360	Early Neolithic	Bökönyi 1978	Equus	1	c(208465.883543934, 249154.981734128)
108	Malyan	Iran	29.99	52.52	CONTEXT	Bronze Age	Zeder 1984, 1986	Equus	1	c(1762544.89068789, -106811.593577871)
108	Malyan	Iran	29.99	52.52	CONTEXT	Iron Age	Zeder 1984, 1986	Equus	1	c(1762544.89068789, -106811.593577871)
111	Mehrgarh	Pakistan	29.403	67.599	vici:32060	Early Neolithic	Meadow 1984	Equus	1	c(3202899.28978515, 156600.753668087)
111	Mehrgarh	Pakistan	29.403	67.599	vici:32060	Late Neolithic	Meadow 1984	Equus	1	c(3202899.28978515, 156600.753668087)
111	Mehrgarh	Pakistan	29.403	67.599	vici:32060	Bronze Age	Meadow 1984	Equus	1	c(3202899.28978515, 156600.753668087)
123	Nahr al-Homr	Syria	36.2	38.067	Schyle & Uerpmann 1996	Epipalaeolithic	Clason & Buitenhuis 1978, pers. comm.	Equus	1	c(364360.537745585, 472203.511672425)
126	Nush-i Jan	Iran	34.38	48.639	Pleiades	Iron Age	Bökönyi 1978	Equus	1	c(1335754.42055158, 328136.07802713)
128	Palegawra	Iraq	35.64	45.11	CONTEXT	Epipalaeolithic	Turnbull & Reed 1974; Uerpmann 1987	Equus	1	c(1002009.15375219, 436836.320813888)
128	Palegawra	Iraq	35.64	45.11	CONTEXT	Early Neolithic	Turnbull & Reed 1974; Uerpmann 1987	Equus	1	c(1002009.15375219, 436836.320813888)
130	Pirak	Pakistan	29	67	Kopp & Röllig 1994	Bronze Age	Meadow 1979b, pers. comm.	Equus	1	c(3160106.58348331, 96592.2276723977)
130	Pirak	Pakistan	29	67	Kopp & Röllig 1994	Iron Age	Meadow 1979b, pers. comm.	Equus	1	c(3160106.58348331, 96592.2276723977)
136	Quetta Valley	Pakistan	30	67	Kopp & Röllig 1994	Late Neolithic	Fairservis 1956	Equus	1	c(3127848.30725653, 203048.153502114)
136	Quetta Valley	Pakistan	30	67	Kopp & Röllig 1994	Bronze Age	Fairservis 1956	Equus	1	c(3127848.30725653, 203048.153502114)
138	Ras al-Amiya	Iraq	32.5	44.5	Kopp & Röllig 1994	Late Neolithic	Flannery & Cornwall 1969	Equus	1	c(971607.790845973, 85412.9583140418)
142	Resafa	Syria	35.629	38.758	Pleiades	Historic	Boessneck 1984	Equus	1	c(427387.160008771, 409516.09899435)
143	Rosh Ein Mor (D15)	Israel	30.834	34.769	Rink et al. 2003	Middle Palaeolithic	Tchernov 1976	Equus	1	c(52651.4716013993, -120157.737275843)
144	Rosh Horesha	Israel	30.5	34.58	CONTEXT	Protoneolithic	Butler, Tchernov, Hietala & Davis 1977	Equus	1	c(33523.5060983803, -156763.476705388)
145	Rosh Zin	Israel	30.85	34.767	Schyle & Uerpmann 1996	Protoneolithic	Tchernov 1976	Equus	1	c(52505.3866181286, -118376.447129098)
146	Sabz, Tepe	Iran	32.59	47.26	CONTEXT	Late Neolithic	Hole, Flannery & Neely 1969	Equus	1	c(1229158.22566846, 117283.744247731)
148	Sarab	Iran	34.38	47.09	CONTEXT	Early Neolithic	Bökönyi 1977, 1978	Equus	1	c(1194113.43937599, 313303.636998439)
149	Sawwan, Tell es-	Iraq	34.122	43.905	vici:21265	Late Neolithic	Bökönyi 1978	Equus	1	c(904109.055185071, 261107.425727652)
151	Shahr-e Sokhta	Iran	30.595	61.326	Pleiades	Bronze Age	Caloi & Compagnoni 1977, 1981; Compagnoni 1980	Equus	1	c(2582614.20731228, 122956.309626196)
152	Shams ed-Din Tannira	Syria	36.167	38.167	Kopp & Röllig 1994	Late Neolithic	Uerpmann 1982	Equus	1	c(373383.46525821, 468610.375379864)
156	Siahbid	Iran	34.25	47	Kopp & Röllig 1994	Late Neolithic	Bökönyi 1977	Equus	1	c(1187255.25678295, 298159.906137472)
157	Sialk	Iran	34	54	Kopp & Röllig 1994	Late Neolithic	Vaufrey 1939; Uerpmann 1987	Equus	1	c(1830795.37850637, 354674.400591425)
158	Sibri	Pakistan	29	67	Kopp & Röllig 1994	Bronze Age	Meadow pers. comm.	Equus	1	c(3160106.58348331, 96592.2276723977)
163	Skhul	Israel	32	34.5	Kopp & Röllig 1994	Middle Palaeolithic	Bate 1937	Equus	1	c(30538.60063779, 9917.36011700606)
167	Tabun	Israel	31.55	35.233	Schyle 1992	Lower Palaeolithic	Bate 1937	Equus	1	c(98781.2163103981, -41717.8739641996)
167	Tabun	Israel	31.55	35.233	Schyle 1992	Middle Palaeolithic	Bate 1937	Equus	1	c(98781.2163103981, -41717.8739641996)
175	Tula'i Tepe	Iran	32.333	48.167	Kopp & Röllig 1994	Early Neolithic	Wheeler 1977	Equus	1	c(1316939.38984801, 97683.3965242787)
179	Umm Dabagiyah	Iraq	35.5	42.5	Kopp & Röllig 1994	Early Neolithic	Bökönyi 1978	Equus	1	c(766946.285458252, 406199.429251299)
181	Wad, al-	Israel	32.67	34.97	CONTEXT	Upper Palaeolithic	Bate 1937; Uerpmann 1987	Equus	1	c(76722.2667550283, 83070.6358973941)
181	Wad, al-	Israel	32.67	34.97	CONTEXT	Epipalaeolithic	Bate 1937; Uerpmann 1987	Equus	1	c(76722.2667550283, 83070.6358973941)
182	Wadi Dhobai, site K	Jordan	36.414	31.508	Garrard & Byrd 2013	Epipalaeolithic	Bate 1938	Equus	1	c(-223748.080122738, 510852.481303815)
190	Warwasi	Iran	34.4	47.117	Schyle 1992	MP:UP	Turnbull 1975	Equus	1	c(1196369.62917705, 315750.811028217)
190	Warwasi	Iran	34.4	47.117	Schyle 1992	Epipalaeolithic	Turnbull 1975	Equus	1	c(1196369.62917705, 315750.811028217)
191	Yabroud	Syria	33.967	36.65	Schyle 1992	Lower Palaeolithic	Perkins 1968; Lehmann 1970	Equus	1	c(235203.417783656, 224534.300716145)
191	Yabroud	Syria	33.967	36.65	Schyle 1992	Upper Palaeolithic	Perkins 1968; Lehmann 1970	Equus	1	c(235203.417783656, 224534.300716145)
191	Yabroud	Syria	33.967	36.65	Schyle 1992	Epipalaeolithic	Perkins 1968; Lehmann 1970	Equus	1	c(235203.417783656, 224534.300716145)
192	Yahya Tepe	Iran	28.583	56.35	Pleiades	Late Neolithic	Meadow pers. comm.	Equus	1	c(2157201.83800856, -198059.537384878)
192	Yahya Tepe	Iran	28.583	56.35	Pleiades	Bronze Age	Meadow pers. comm.	Equus	1	c(2157201.83800856, -198059.537384878)
192	Yahya Tepe	Iran	28.583	56.35	Pleiades	Iron Age	Meadow pers. comm.	Equus	1	c(2157201.83800856, -198059.537384878)
193	Yarim Tepe	Iraq	36.333	42.167	Kopp & Röllig 1994	Late Neolithic	Bibikova 1980	Equus	1	c(732224.629385031, 497068.094523492)
5	Abu Simbel east bank	Egypt	22.336	31.627	Pleiades	Epipalaeolithic	Reed in Wendt 1966	Equus	1	c(-302206.912583261, -1057264.51642794)
5	Abu Simbel east bank	Egypt	22.336	31.627	Pleiades	Protoneolithic	Reed in Wendt 1966	Equus	1	c(-302206.912583261, -1057264.51642794)
5	Abu Simbel east bank	Egypt	22.336	31.627	Pleiades	Early Neolithic	Reed in Wendt 1966	Equus	1	c(-302206.912583261, -1057264.51642794)
5	Abu Simbel east bank	Egypt	22.336	31.627	Pleiades	Late Neolithic	Reed in Wendt 1966	Equus	1	c(-302206.912583261, -1057264.51642794)
21	Azraq, Ain al-Assad	Jordan	31.807	36.805	Copeland 1988	Upper Palaeolithic	Turnbull pers. comm.	Equus	1	c(248348.976732687, -15169.6388516743)
21	Azraq, Ain al-Assad	Jordan	31.807	36.805	Copeland 1988	Early Neolithic	Turnbull pers. comm.	Equus	1	c(248348.976732687, -15169.6388516743)
21	Azraq, Ain al-Assad	Jordan	31.807	36.805	Copeland 1988	Bronze Age	Turnbull pers. comm.	Equus	1	c(248348.976732687, -15169.6388516743)
31	Bir Sahara	Egypt	22.933	28.75	Hill 2009	Middle Palaeolithic	Gautier 1980	Equus	1	c(-598576.877644986, -968515.049447813)
32	Bir Tarfawi	Egypt	22.917	28.75	Wendorf et al. 1993	Middle Palaeolithic	Gautier 1980	Equus	1	c(-598730.900195086, -970315.472914672)
41	Dakhla Oasis	Egypt	25.573	29.062	Pleiades	Late Neolithic	Churcher 1983	Equus	1	c(-541655.609604295, -675278.741639175)
54	Elephantine	Egypt	24.09	32.889	Pleiades	Bronze Age	Boessneck 1977; Boessneck & von den Driesch 1982	Equus	1	c(-160752.591870279, -866252.143139123)
57	Erq el-Ahmar	Israel	31.667	35.233	Schyle & Uerpmann 1996	Middle Palaeolithic	Vaufrey 1951; Davis 1980	Equus	1	c(99053.9896468004, -28735.2618986187)
57	Erq el-Ahmar	Israel	31.667	35.233	Schyle & Uerpmann 1996	Upper Palaeolithic	Vaufrey 1951; Davis 1980	Equus	1	c(99053.9896468004, -28735.2618986187)
57	Erq el-Ahmar	Israel	31.667	35.233	Schyle & Uerpmann 1996	Epipalaeolithic	Vaufrey 1951; Davis 1980	Equus	1	c(99053.9896468004, -28735.2618986187)
63	Gat, Tel	Israel	31.4	34.5	Kopp & Röllig 1994	Bronze Age	Ducos 1968	Equus	1	c(28655.6537723075, -56644.0190029946)
69	Gilf Kebir, Wadi Bakht	Egypt	23.167	26	Schyle & Uerpmann 1996	Late Neolithic	Gautier 1980, 1982	Equus	1	c(-881875.475678944, -913836.680658718)
84	Hili 8	UAE	24.167	55.667	Kopp & Röllig 1994	Bronze Age	Uerpmann 1987	Equus	1	c(2180512.29539657, -696410.558317813)
100	Kom Ombo	Egypt	24.452	32.928	Pleiades	Epipalaeolithic	Churcher 1972, 1974; Reed & Turnbull 1969; Turnbull pers. comm.	Equus	1	c(-154941.030510553, -825753.219142868)
110	Maysar	Oman	22	58	Kopp & Röllig 1994	Bronze Age	Uerpmann 1987	Equus	1	c(2466638.07262734, -889643.414955445)
116	Mureybit	Syria	36.083	38.083	CONTEXT	Protoneolithic	Ducos 1978	Equus	1	c(365893.894936156, 459232.117894372)
139	Ras al-Hamra	Oman	23.5	58.5	Kopp & Röllig 1994	Late Neolithic	Uerpmann 1987	Equus	1	c(2483020.56902564, -712976.830712761)
152	Shams ed-Din Tannira	Syria	36.167	38.167	Kopp & Röllig 1994	Late Neolithic	Uerpmann 1982	Equus	1	c(373383.46525821, 468610.375379864)
184	Wadi Halfa Area	Sudan	21	31	Kopp & Röllig 1994	Upper Palaeolithic	Gautier 1968	Equus	1	c(-377642.95843646, -1204550.15133398)
184	Wadi Halfa Area	Sudan	21	31	Kopp & Röllig 1994	Epipalaeolithic	Gautier 1968	Equus	1	c(-377642.95843646, -1204550.15133398)
184	Wadi Halfa Area	Sudan	21	31	Kopp & Röllig 1994	Protoneolithic	Gautier 1968	Equus	1	c(-377642.95843646, -1204550.15133398)
184	Wadi Halfa Area	Sudan	21	31	Kopp & Röllig 1994	Early Neolithic	Gautier 1968	Equus	1	c(-377642.95843646, -1204550.15133398)
184	Wadi Halfa Area	Sudan	21	31	Kopp & Röllig 1994	Late Neolithic	Gautier 1968	Equus	1	c(-377642.95843646, -1204550.15133398)
